"STORE","STORE_NAME","STORE_CLASS","STORE_MGR_NAME","STORE_OPEN_DATE","STORE_CLOSE_DATE","PHONE_NUMBER","EMAIL","TOTAL_SQUARE_FT","SELLING_SQUARE_FT","LINEAR_DISTANCE","VAT_REGION","STOCKHOLDING_IND","CHANNEL_ID","FORMAT_NAME","STORE_FORMAT","MALL_NAME","TRANSFER_ZONE","DEFAULT_WH","DEFAULT_RDC","STOP_ORDER_DAYS","START_ORDER_DAYS","CURRENCY_CODE","LANG","TSF_ENTITY_ID","ORG_UNIT_ID","AUTO_RCV","STORE_TYPE","TIMEZONE_NAME","CUSTOMER_ORDER_LOC_IND","CREATE_ID","CREATE_DATETIME","BANNER_NAME","CHAIN_NAME","CHAIN_MGR_NAME","CHAIN_CURRENCY_CODE","CHANNEL_NAME","CHANNEL_TYPE","CO_NAME","CO_ADD1","CO_ADD2","CO_ADD3","CO_CITY","CO_STATE","CO_COUNTRY","CO_POST","CO_NAME_SECONDARY","CO_JURISDICTION_CODE","DISTRICT_NAME","DISTRICT_MGR_NAME","DISTRICT_CURRENCY_CODE","REGION_NAME","REGION_MGR_NAME","REGION_CURRENCY_CODE","COMPANY","CHAIN","AREA","REGION","DISTRICT","ADD_1","ADD_2","ADD_3","CITY","STATE","COUNTRY_ID","POST","CONTACT_NAME","COUNTY","JURISDICTION_CODE","AREA_NAME","AREA_CURRENCY_CODE","AREA_MGR_NAME","BUDGET_CCID","BRAND","BRAND_NAME","MAIN_BRAND","BUSINESS_UNIT","BUSSUNIT_DESC","BOX_DESC","STORE_COMP_STATUS","STORE_COMP_EFFECTIVE_DATE","STORE_COMP_DISCONTINUE_DATE","SOLO_MULTIBOX","LEGACY_STORE_CODE","RFID_ENABLED","ELIGIBLE_FOR_FORECAST"
31717,"HEN_RIYAD_GALLERY","A","STM",21-06-23,,"12345678","dummymail@alshaya.com","0","0","",6,"Y",31,"STAND-ALONE","STAND-ALONE","RIYAD GALLERY",,"800107",,"60","60","SAR",1,135,137,"D","C","Asia/Riyadh","N","ESUSER",21-06-23,"HEN_HENNES_&_MAURITZ","MIDDLE EAST","","","Brick and Mortar","BANDM","Alshaya Group","Burj Alshaya, Al Soor Street, Al Mirqab","","","Shuwaikh","KU","KWT","181","","","RIYADH","","SAR","CENTRAL PROVINCE","","SAR",1,1,5,30,131,"RIYAD GALLERY","","","RIYADH","X03","SAU","","","","","SAUDI ARABIA","SAR","","","HEN","HENNES_&_MAURITZ","HEN","","","HEN_RIYAD_GALLERY - HEN","PTL",21-06-23,,"SOLO","12396","Y","Y"
31747,"HEN_MUHARRAQ_MALL","A","STM",09-07-14,,"+12345678","dummymail@alshaya.com","0","0","",2,"Y",31,"STAND-ALONE","STAND-ALONE","MUHARRAQ MALL",1,"800021",,"60","60","BHD",1,77463,25620,"D","C","Asia/Bahrain","N","RMS01",09-06-22,"HEN_HENNES_&_MAURITZ","MIDDLE EAST","","","Brick and Mortar","BANDM","Alshaya Group","Burj Alshaya, Al Soor Street, Al Mirqab","","","Shuwaikh","KU","KWT","181","","","MUHARRAQ","","BHD","BAHRAIN","","BHD",1,1,2,2,199,"MUHARRAQ MALL","","","MUHARRAQ","X12","BHR","","","","","BAHRAIN","BHD","","RC1-2833-HEN","HEN","HENNES_&_MAURITZ","HEN","","","HEN_MUHARRAQ_MALL - HEN","LFL",09-07-14,29-03-26,"SOLO","549","","Y"
31807,"HEN_SEEF_MALL","A","STM",13-01-09,,"+12345678","dummymail@alshaya.com","0","0","",2,"Y",31,"STAND-ALONE","STAND-ALONE","SEEF MALL",1,"800021",,"60","60","BHD",1,77463,25620,"D","C","Asia/Bahrain","N","RMS01",09-06-22,"HEN_HENNES_&_MAURITZ","MIDDLE EAST","","","Brick and Mortar","BANDM","Alshaya Group","Burj Alshaya, Al Soor Street, Al Mirqab","","","Shuwaikh","KU","KWT","181","","","MANAMA","","BHD","BAHRAIN","","BHD",1,1,2,2,100,"SEEF MALL","","","MANAMA","X12","BHR","","","","","BAHRAIN","BHD","","RC1-2812-HEN","HEN","HENNES_&_MAURITZ","HEN","","","HEN_SEEF_MALL - HEN","LFL",13-01-09,,"SOLO","235","","Y"
31812,"HEN VILLAGIO","A","STM",13-03-08,,"+12345678","dummymail@alshaya.com","0","0","",12,"Y",31,"STAND-ALONE","STAND-ALONE","VILLAGIO",1,"800025",,"60","60","QAR",1,92,91,"D","C","Asia/Qatar","Y","RMS01",09-06-22,"HEN_HENNES_&_MAURITZ","MIDDLE EAST","","","Brick and Mortar","BANDM","Alshaya Group","Burj Alshaya, Al Soor Street, Al Mirqab","","","Shuwaikh","KU","KWT","181","","","DOHA CITY","","QAR","QATAR","","QAR",1,1,10,10,127,"VILLAGIO","","","DOHA CITY","X04","QAT","","","","","QATAR","QAR","","RD1-3526-HEN","HEN","HENNES_&_MAURITZ","HEN","","","HEN VILLAGIO - HEN","LFL",13-03-08,,"SOLO","423","","Y"
31816,"HEN_GRANADA MALL","A","STM",21-06-23,,"12345678","dummymail@alshaya.com","0","0","",6,"Y",31,"STAND-ALONE","STAND-ALONE","GRANADA MALL",1,"800107",,"60","60","SAR",1,135,137,"D","C","Asia/Riyadh","N","ESUSER",21-06-23,"HEN_HENNES_&_MAURITZ","MIDDLE EAST","","","Brick and Mortar","BANDM","Alshaya Group","Burj Alshaya, Al Soor Street, Al Mirqab","","","Shuwaikh","KU","KWT","181","","","RIYADH","","SAR","CENTRAL PROVINCE","","SAR",1,1,5,30,131,"GRANADA MALL","","","RIYADH","X03","SAU","","","","","SAUDI ARABIA","SAR","","","HEN","HENNES_&_MAURITZ","HEN","","","HEN_GRANADA MALL - HEN","PTL",21-06-23,,"SOLO","12397","Y","Y"
31668,"HEN_AL DHIYAFA MALL","A","STM",12-07-12,,"12345678","dummymail@alshaya.com","1298","0","",6,"Y",31,"STAND-ALONE","STAND-ALONE","Al Diyafa Mall Makkah",1,"800215",,"60","60","SAR",1,135,137,"D","C","Asia/Riyadh","Y","RMS01",27-01-23,"HEN_HENNES_&_MAURITZ","MIDDLE EAST","","","Brick and Mortar","BANDM","Alshaya Group","Burj Alshaya, Al Soor Street, Al Mirqab","","","Shuwaikh","KU","KWT","181","","","MECCA","","SAR","WESTERN PROVINCE","","SAR",1,1,5,29,136,"AL DHIYAFA MALL","","","MECCA","X03","SAU","","","","","SAUDI ARABIA","SAR","","RB2-S387-HEN","HEN","HENNES_&_MAURITZ","HEN","HENMAU","Hennes & Mauritz","HEN_AL DHIYAFA MALL - HEN","LFL",12-07-12,29-03-26,"SOLO","105","Y",""
31676,"HEN_ALMAZA CITY CENTRE","A","STM",02-10-19,,"12345678","dummymail@alshaya.com","1922","0","",3,"Y",31,"STAND-ALONE","STAND-ALONE","ALMAZA CITY CENTRE",1,"800031",,"60","60","EGP",1,5201,5202,"D","C","Africa/Cairo","Y","RMS01",27-01-23,"HEN_HENNES_&_MAURITZ","MIDDLE EAST","","","Brick and Mortar","BANDM","Alshaya Group","Burj Alshaya, Al Soor Street, Al Mirqab","","","Shuwaikh","KU","KWT","181","","","SHARM EL SHEIKH","","EGP","EGYPT","","EGP",1,1,3,3,109,"ALMAZA CITY CENTRE","","","SHARM EL SHEIKH","X11","EGY","","","","","EGYPT","EGP","","RL1-E561-HEN","HEN","HENNES_&_MAURITZ","HEN","HENMAU","Hennes & Mauritz","HEN_ALMAZA CITY CENTRE - HEN","LFL",02-10-19,,"SOLO","1466","Y",""
34012,"PRM_AL BIRAQ_MALL","A","STM",12-07-09,,"+12345678","dummymail@alshaya.com","0","0","",7,"Y",31,"STAND-ALONE","STAND-ALONE","AL BIRAQ MALL",1,"800004",800108,"60","60","KWD",1,81,82,"D","C","Asia/Kuwait","N","RMS01",07-08-25,"HEN_HENNES_&_MAURITZ","MIDDLE EAST","","","Brick and Mortar","BANDM","Alshaya Group","Burj Alshaya, Al Soor Street, Al Mirqab","","","Shuwaikh","KU","KWT","181","","","KUWAIT CITY","","KWD","KUWAIT","","KWD",1,1,6,6,117,"AL BIRAQ MALL","","","KUWAIT CITY","X08","KWT","","","","","KUWAIT","KWD","","RA1-1073-PRM","PRM","PRIMARK","PRM","PRK","","PRM_AL BIRAQ_MALL - PRM","LFL",07-08-25,,"SOLO","602","","Y"
34011,"PRM_PLAZA_HAWALLY","A","STM",23-04-19,,"+12345678","dummymail@alshaya.com","0","0","",7,"Y",31,"STAND-ALONE","STAND-ALONE","PLAZA HAWALLY",1,"800004",800108,"60","60","KWD",1,81,82,"D","C","Asia/Kuwait","Y","RMS01",07-08-25,"HEN_HENNES_&_MAURITZ","MIDDLE EAST","","","Brick and Mortar","BANDM","Alshaya Group","Burj Alshaya, Al Soor Street, Al Mirqab","","","Shuwaikh","KU","KWT","181","","","HAWALLY","","KWD","KUWAIT","","KWD",1,1,6,6,174,"PLAZA HAWALLY","","","HAWALLY","X08","KWT","","","","","KUWAIT","KWD","","RA1-Q314-PRM","PRM","PRIMARK","PRM","PRK","","PRM_PLAZA_HAWALLY - PRM","PTL",23-04-19,,"SOLO","1429","Y","Y"
31727,"HEN_MILAGRO BOUTIQUE","A","STM",28-12-15,,"12345678","dummymail@alshaya.com","1884","0","",6,"Y",31,"STAND-ALONE","STAND-ALONE","Milagro Boutique Tabuk",1,"800215",,"60","60","SAR",1,135,137,"D","C","Asia/Riyadh","Y","RMS01",27-01-23,"HEN_HENNES_&_MAURITZ","MIDDLE EAST","","","Brick and Mortar","BANDM","Alshaya Group","Burj Alshaya, Al Soor Street, Al Mirqab","","","Shuwaikh","KU","KWT","181","","","TABUK","","SAR","WESTERN PROVINCE","","SAR",1,1,5,29,143,"MILAGRO BOUTIQUE","","","TABUK","X03","SAU","","","","","SAUDI ARABIA","SAR","","RB2-2522-HEN","HEN","HENNES_&_MAURITZ","HEN","HENMAU","Hennes & Mauritz","HEN_MILAGRO BOUTIQUE - HEN","LFL",28-12-15,29-03-26,"SOLO","1017","Y",""
31746,"HEN_OTHAIM MALL - RABWA","A","STM",22-12-09,,"12345678","dummymail@alshaya.com","1851","0","",6,"Y",31,"STAND-ALONE","STAND-ALONE","Othaim Mall Rabwa",1,"800215",,"60","60","SAR",1,135,137,"D","C","Asia/Riyadh","Y","RMS01",27-01-23,"HEN_HENNES_&_MAURITZ","MIDDLE EAST","","","Brick and Mortar","BANDM","Alshaya Group","Burj Alshaya, Al Soor Street, Al Mirqab","","","Shuwaikh","KU","KWT","181","","","RIYADH","","SAR","CENTRAL PROVINCE","","SAR",1,1,5,30,131,"OTHAIM MALL - RABWA","","","RIYADH","X03","SAU","","","","","SAUDI ARABIA","SAR","","RB2-2267-HEN","HEN","HENNES_&_MAURITZ","HEN","HENMAU","Hennes & Mauritz","HEN_OTHAIM MALL - RABWA - HEN","LFL",22-12-09,,"SOLO","457","Y",""
31763,"HEN_E COMMERCE FRANCHISE UAE","A","STM",21-09-17,,"12345678","dummymail@alshaya.com","0","0","",14,"N",32,"WEB STORE","WEB STORE","E COMMERCE FRANCHISE UAE",1,"",,"","60","AED",1,86,88,"Y","C","Asia/Dubai","Y","RMS01",27-01-23,"HEN_HENNES_&_MAURITZ","MIDDLE EAST","","","Online","WEBSTR","Alshaya Group","Burj Alshaya, Al Soor Street, Al Mirqab","","","Shuwaikh","KU","KWT","181","","","DUBAI","","AED","DUBAI","","AED",1,1,12,34,159,"E COMMERCE FRANCHISE UAE","","","DUBAI","X01","ARE","","","","","UNITED ARAB EMIRATES","AED","","","HEN","HENNES_&_MAURITZ","HEN","HENMAU","Hennes & Mauritz","HEN_E COMMERCE FRANCHISE UAE - HEN","NEW",24-10-24,29-03-26,"SOLO","31763","N",""
31802,"HEN_MALL OF EMIRATES (NEW)","A","STM",20-03-17,,"12345678","dummymail@alshaya.com","3205","0","",14,"Y",31,"STAND-ALONE","STAND-ALONE","Mall Of Emirates",1,"800008",,"60","60","AED",1,86,88,"D","C","Asia/Dubai","Y","RMS01",27-01-23,"HEN_HENNES_&_MAURITZ","MIDDLE EAST","","","Brick and Mortar","BANDM","Alshaya Group","Burj Alshaya, Al Soor Street, Al Mirqab","","","Shuwaikh","KU","KWT","181","","","DUBAI","","AED","DUBAI","","AED",1,1,12,34,159,"MALL OF EMIRATES (NEW)","","","DUBAI","X01","ARE","","","","","UNITED ARAB EMIRATES","AED","","RE1-D805-HEN","HEN","HENNES_&_MAURITZ","HEN","HENMAU","Hennes & Mauritz","HEN_MALL OF EMIRATES (NEW) - HEN","LFL",20-03-17,29-03-26,"SOLO","1060","Y",""
31803,"HEN_DUBAI FESTIVAL CITY","A","STM",12-05-17,,"12345678","dummymail@alshaya.com","3224","0","",14,"Y",31,"STAND-ALONE","STAND-ALONE","Dubai Festival City",1,"800008",,"60","60","AED",1,81463,25740,"D","C","Asia/Dubai","Y","RMS01",27-01-23,"HEN_HENNES_&_MAURITZ","MIDDLE EAST","","","Brick and Mortar","BANDM","Alshaya Group","Burj Alshaya, Al Soor Street, Al Mirqab","","","Shuwaikh","KU","KWT","181","","","DUBAI","","AED","DUBAI","","AED",1,1,12,34,159,"DUBAI FESTIVAL CITY","","","DUBAI","X01","ARE","","","","","UNITED ARAB EMIRATES","AED","","RE1-D766-HEN","HEN","HENNES_&_MAURITZ","HEN","HENMAU","Hennes & Mauritz","HEN_DUBAI FESTIVAL CITY - HEN","LFL",12-05-17,,"SOLO","1063","Y",""
31817,"HEN_RED SEA MALL 1","A","STM",10-01-11,,"12345678","dummymail@alshaya.com","2566","0","",6,"Y",31,"STAND-ALONE","STAND-ALONE","Red Sea Mall Jeddah",1,"800011",,"60","60","SAR",1,135,137,"D","C","Asia/Riyadh","Y","RMS01",27-01-23,"HEN_HENNES_&_MAURITZ","MIDDLE EAST","","","Brick and Mortar","BANDM","Alshaya Group","Burj Alshaya, Al Soor Street, Al Mirqab","","","Shuwaikh","KU","KWT","181","","","JEDDAH","","SAR","WESTERN PROVINCE","","SAR",1,1,5,29,129,"RED SEA MALL 1","","","JEDDAH","X03","SAU","","","","","SAUDI ARABIA","SAR","","RB2-S289-HEN","HEN","HENNES_&_MAURITZ","HEN","HENMAU","Hennes & Mauritz","HEN_RED SEA MALL 1 - HEN","LFL",10-01-11,,"SOLO","547","Y",""
31972,"HEN_CITY MALL","A","STM",24-06-09,05-04-16,"12345678","dummymail@alshaya.com","0","0","",5,"Y",31,"STAND-ALONE","STAND-ALONE","CITY MALL",1,"800028",,"60","1","JOD",1,156,157,"D","C","Asia/Amman","Y","RMS01",27-01-23,"HEN_HENNES_&_MAURITZ","MIDDLE EAST","","","Brick and Mortar","BANDM","Alshaya Group","Burj Alshaya, Al Soor Street, Al Mirqab","","","Shuwaikh","KU","KWT","181","","","AMMAN","","JOD","JORDAN","","JOD",1,1,4,4,115,"CITY MALL","","","AMMAN","X09","JOR","","","","","JORDAN","JOD","","RH1-5585-HEN","HEN","HENNES_&_MAURITZ","HEN","HENMAU","Hennes & Mauritz","HEN_CITY MALL - HEN","CLS",24-06-09,29-03-26,"SOLO","988","Y",""
31977,"HEN_AJMAN CITY CENTRE","A","STM",11-01-12,02-02-17,"12345678","dummymail@alshaya.com","0","0","",14,"Y",31,"STAND-ALONE","STAND-ALONE","AJMAN CITY CENTRE",1,"800008",,"60","1","AED",1,86,88,"D","C","Asia/Dubai","Y","RMS01",27-01-23,"HEN_HENNES_&_MAURITZ","MIDDLE EAST","","","Brick and Mortar","BANDM","Alshaya Group","Burj Alshaya, Al Soor Street, Al Mirqab","","","Shuwaikh","KU","KWT","181","","","AJMAN","","AED","OUTERS","","AED",1,1,12,36,164,"AJMAN CITY CENTRE","","","AJMAN","X01","ARE","","","","","UNITED ARAB EMIRATES","AED","","RE1-4144-HEN","HEN","HENNES_&_MAURITZ","HEN","HENMAU","Hennes & Mauritz","HEN_AJMAN CITY CENTRE - HEN","CLS",11-01-12,29-03-26,"SOLO","453","Y",""
32048,"HEN_OPEN AIR - MADINATY","A","STM",25-11-21,,"12345678","dummymail@alshaya.com","0","0","",3,"Y",31,"STAND-ALONE","STAND-ALONE","OPEN AIR - MADINATY",1,"800031",,"60","60","EGP",1,5201,5202,"D","C","Africa/Cairo","Y","RMS01",27-01-23,"HEN_HENNES_&_MAURITZ","MIDDLE EAST","","","Brick and Mortar","BANDM","Alshaya Group","Burj Alshaya, Al Soor Street, Al Mirqab","","","Shuwaikh","KU","KWT","181","","","CAIRO","","EGP","EGYPT","","EGP",1,1,3,3,108,"OPEN AIR - MADINATY","","","CAIRO","X11","EGY","","","","","EGYPT","EGP","","RL1-E643-HEN","HEN","HENNES_&_MAURITZ","HEN","HENMAU","Hennes & Mauritz","HEN_OPEN AIR - MADINATY - HEN","LFL",25-11-21,,"SOLO","1542","Y",""
32119,"HEN_JEDDAH SEASON (CITY WALK)-ACTIVITY","A","STM",08-05-22,02-07-22,"12345678","dummymail@alshaya.com","0","0","",6,"Y",31,"STAND-ALONE","STAND-ALONE","HEN JEDDAH SEASON (CITY WALK)-ACTIVITY",1,"800011",,"60","60","SAR",1,135,137,"D","C","Asia/Riyadh","Y","RMS01",27-01-23,"HEN_HENNES_&_MAURITZ","MIDDLE EAST","","","Brick and Mortar","BANDM","Alshaya Group","Burj Alshaya, Al Soor Street, Al Mirqab","","","Shuwaikh","KU","KWT","181","","","JEDDAH","","SAR","WESTERN PROVINCE","","SAR",1,1,5,29,129,"HEN JEDDAH SEASON (CITY WALK)-ACTIVITY","","","JEDDAH","X03","SAU","","","","","SAUDI ARABIA","SAR","","RB2-H550-HEN","HEN","HENNES_&_MAURITZ","HEN","HENMAU","Hennes & Mauritz","HEN_JEDDAH SEASON (CITY WALK)-ACTIVITY - HEN","CLS",08-05-22,29-03-26,"SOLO","1551","Y",""
