"BRAND","TIME_ID","OPTION_ID","STORE","REGULAR_SLS_UNITS","PROMO_SLS_UNITS","MRKDWN_SLS_UNITS","BASE_HISTORY"
"AME",202415,"130213005_AMEC100",30029,2,1,0,3
"AME",202415,"130342852_AMEC529",33093,1,0,1,1
"AME",202415,"331074769_AMEC001",30072,1,2,0,3
"AME",202415,"130161953_AMEC106",33093,0,0,5,0
"AME",202415,"331179022_AMEC130",32026,0,1,0,1
"AME",202415,"130213005_AMEC001",32057,2,0,0,2
"AME",202415,"130347881_AMEC900",33202,0,0,2,0
"AME",202415,"331179022_AMEC400",33090,0,1,0,1
"AME",202415,"128984126_AMEC109",30017,0,1,0,1
"AME",202415,"130161953_AMEC106",30089,0,0,3,0
"AME",202415,"130213005_AMEC100",30015,1,1,0,2
"AME",202415,"332019166_AMEC400",30090,1,0,0,1
"AME",202415,"130362609_AMEC100",30069,0,0,2,0
"AME",202415,"271859385_AMEC309",30089,1,0,0,1
"AME",202415,"331179022_AMEC400",30065,1,0,0,1
"AME",202415,"130213005_AMEC100",33092,16,0,0,16
"AME",202415,"331354190_AMEC100",30054,0,1,0,1
"AME",202415,"130213005_AMEC001",30024,1,1,0,2
"AME",202415,"331179022_AMEC400",30101,0,2,0,2
"AME",202415,"130393112_AMEC300",30061,0,2,0,2
"AME",202415,"128984126_AMEC109",30104,2,1,0,3
"AME",202415,"130213005_AMEC001",30913,0,1,0,1
"AME",202415,"130393112_AMEC300",33064,1,0,0,1
"AME",202415,"130127836_AMEC106",33092,0,0,2,0
"AME",202415,"130393112_AMEC300",30881,0,0,1,0
"AME",202415,"331354190_AMEC001",30913,0,3,0,3
"AME",202415,"331354190_AMEC100",30913,0,2,0,2
"AME",202415,"130362609_AMEC200",30913,0,0,5,0
"AME",202415,"130342851_AMEC100",30913,0,0,1,0
"AME",202415,"130362609_AMEC100",33092,0,0,2,0
"AME",202415,"331334139_AMEC219",30095,1,1,0,2
"AME",202415,"130347879_AMEC100",30069,0,0,2,0
"AME",202415,"272974398_AMEC036",30069,0,0,1,0
"AME",202415,"332019166_AMEC400",30089,3,1,0,4
"AME",202415,"128984126_AMEC109",30064,0,1,0,1
"AME",202415,"130393112_AMEC200",30916,1,0,0,1
"AME",202415,"130213005_AMEC100",30093,0,2,0,2
"AME",202415,"331334139_AMEC219",30054,0,4,0,4
"AME",202415,"273334374_AMEC100",30054,0,0,1,0
"AME",202415,"130213005_AMEC001",30914,1,0,0,1
"AME",202415,"130342912_AMEC529",30066,0,0,1,0
"AME",202415,"128984126_AMEC109",30061,1,3,0,4
"AME",202415,"331074769_AMEC001",30914,3,0,0,3
"AME",202415,"332019166_AMEC400",30914,1,0,0,1
"AME",202415,"128984126_AMEC109",30053,1,4,0,5
"AME",202415,"331179022_AMEC130",30061,2,0,0,2
"AME",202415,"130087332_AMEC800",30066,0,0,1,0
"AME",202415,"130097419_AMEC341",30066,0,0,5,0
"AME",202415,"130213005_AMEC100",30914,7,2,0,9
"AME",202415,"129320004_AMEC900",31045,0,1,0,1
"AME",202415,"331179022_AMEC130",33099,0,1,0,1
"AME",202415,"128984126_AMEC109",30071,1,0,0,1
"AME",202415,"130132136_AMEC200",30913,0,0,1,0
"AME",202415,"331179022_AMEC130",30093,1,1,0,2
"AME",202415,"332019166_AMEC400",30915,1,0,0,1
"AME",202415,"130752707_AMEC651",30069,0,0,2,0
"AME",202415,"130393112_AMEC200",30029,0,0,3,0
"AME",202415,"130393112_AMEC200",30044,0,0,1,0
"AME",202415,"128984126_AMEC109",30030,2,10,0,12
"AME",202415,"331179022_AMEC400",30029,0,1,0,1
"AME",202415,"128984126_AMEC109",30022,1,0,0,1
"AME",202415,"131062647_AMEC001",33086,0,0,1,0
"AME",202415,"331179022_AMEC400",30064,0,0,1,0
"AME",202415,"332019166_AMEC400",30064,1,1,0,2
"AME",202415,"331179022_AMEC130",30915,0,2,0,2
"AME",202415,"331334139_AMEC219",30915,0,5,0,5
"AME",202415,"130727664_AMEC300",32064,0,0,3,0
"AME",202415,"128984126_AMEC109",30031,2,0,0,2
"AME",202415,"331354190_AMEC100",30065,0,1,0,1
"AME",202415,"128984126_AMEC109",30095,4,0,0,4
"AME",202415,"130393112_AMEC200",30101,1,0,0,1
"AME",202415,"130393119_AMEC001",30101,0,0,1,0
"AME",202415,"130213005_AMEC100",30024,3,0,0,3
"AME",202415,"130213005_AMEC100",32051,1,1,0,2
"AME",202415,"130132136_AMEC001",33093,0,0,6,0
"AME",202415,"332019166_AMEC400",30100,0,3,0,3
"AME",202415,"331074769_AMEC001",30104,0,1,0,1
"AME",202415,"130213005_AMEC001",33099,5,2,0,7
"AME",202415,"130213005_AMEC100",30100,0,6,0,6
"AME",202415,"130213005_AMEC001",30101,0,6,0,6
"AME",202415,"128925161_AMEC013",32098,0,0,2,0
"AME",202415,"332019166_AMEC400",30048,0,1,0,1
"AME",202415,"130213005_AMEC100",33099,4,3,0,7
"AME",202415,"129320004_AMEC900",30100,0,10,0,10
"AME",202415,"130342852_AMEC529",30913,0,0,1,0
"AME",202415,"273989949_AMEC001",32026,0,3,0,3
"AME",202415,"273494483_AMEC900",32064,0,0,2,0
"AME",202415,"130213005_AMEC100",30057,2,1,0,3
"AME",202415,"331334139_AMEC219",30101,0,2,0,2
"AME",202415,"331074769_AMEC001",30054,2,1,0,3
"AME",202415,"129320004_AMEC900",30083,1,1,0,2
"AME",202415,"130213005_AMEC001",30057,1,2,0,3
"AME",202415,"331179022_AMEC130",32068,2,1,0,3
"AME",202415,"129320004_AMEC900",30104,3,0,0,3
"AME",202415,"130213005_AMEC100",30915,1,1,0,2
"AME",202415,"332019166_AMEC400",33086,1,0,0,1
"AME",202415,"128984126_AMEC109",30044,3,0,0,3
"AME",202415,"130717656_AMEC800",30915,0,0,1,0
"AME",202415,"130161953_AMEC106",33092,0,0,4,0
"AME",202415,"130342852_AMEC529",32098,0,0,1,0
"AME",202415,"273989949_AMEC600",32026,1,1,0,2
"AME",202415,"331074769_AMEC001",30089,1,1,0,2
"AME",202415,"331074769_AMEC001",31050,1,1,0,2
"AME",202415,"331179022_AMEC400",31050,1,0,0,1
"AME",202415,"130132136_AMEC200",30089,0,0,1,0
"AME",202415,"331179022_AMEC130",30029,0,1,0,1
"AME",202415,"331179022_AMEC400",30093,0,2,0,2
"AME",202415,"130213005_AMEC001",30071,2,0,0,2
"AME",202415,"331179022_AMEC400",30054,1,0,0,1
"AME",202415,"130348109_AMEC106",30053,0,0,1,0
"AME",202415,"332019166_AMEC400",30057,1,1,0,2
"AME",202415,"130347878_AMEC100",30069,0,0,1,0
"AME",202415,"130213005_AMEC100",30101,0,7,0,7
"AME",202415,"130342983_AMEC100",30915,0,0,1,0
"AME",202415,"273494483_AMEC900",30915,0,0,14,0
"AME",202415,"130213005_AMEC001",32026,2,3,0,5
"AME",202415,"272974398_AMEC209",30915,0,0,3,0
"AME",202415,"130342965_AMEC309",30915,0,0,2,0
"AME",202415,"130347860_AMEC400",30915,0,0,1,0
"AME",202415,"130213005_AMEC001",30048,1,0,0,1
"AME",202415,"130213005_AMEC001",30044,5,7,0,12
"AME",202415,"128984126_AMEC109",30072,0,2,0,2
"AME",202415,"130347795_AMEC001",30064,0,0,1,0
"AME",202415,"130347844_AMEC817",30066,0,0,1,0
"AME",202415,"130347795_AMEC001",30066,0,0,13,0
"AME",202415,"130362609_AMEC100",30066,0,0,1,0
"AME",202415,"130393112_AMEC200",30064,0,0,1,0
"AME",202415,"331179022_AMEC400",32013,0,0,1,0
"AME",202415,"130097419_AMEC400",30066,0,0,3,0
"AME",202415,"331179022_AMEC400",30061,2,0,0,2
"AME",202415,"130302626_AMEC300",30066,0,0,1,0
"AME",202415,"331179022_AMEC130",32057,0,4,0,4
"AME",202415,"130393112_AMEC200",30057,0,0,3,0
"AME",202415,"332019166_AMEC400",30054,2,0,0,2
"AME",202415,"130213005_AMEC100",32057,0,1,0,1
"AME",202415,"128984126_AMEC109",30057,2,7,0,9
"AME",202415,"271859385_AMEC309",30054,0,0,1,0
"AME",202415,"129320004_AMEC900",30057,0,1,0,1
"AME",202415,"331179022_AMEC400",30095,1,1,0,2
"AME",202415,"128984126_AMEC109",32068,2,6,0,8
"AME",202415,"331179022_AMEC130",32013,0,0,1,0
"AME",202415,"128984126_AMEC109",32013,1,0,0,1
"AME",202415,"331354190_AMEC001",30057,0,5,0,5
"AME",202415,"331074769_AMEC001",30057,2,1,0,3
"AME",202415,"129507116_AMEC210",30085,0,0,1,0
"AME",202415,"331354190_AMEC001",32051,1,1,0,2
"AME",202415,"273989949_AMEC001",30083,1,0,0,1
"AME",202415,"130213005_AMEC001",30881,0,6,0,6
"AME",202415,"128984126_AMEC109",30054,1,1,0,2
"AME",202415,"129320004_AMEC900",30071,1,0,0,1
"AME",202415,"273909493_AMEC106",32026,1,0,0,1
"AME",202415,"273909493_AMEC001",32026,1,0,0,1
"AME",202415,"331179022_AMEC130",30865,1,0,0,1
"AME",202415,"130393112_AMEC300",30030,1,1,0,2
"AME",202415,"130161953_AMEC106",30913,0,0,2,0
"AME",202415,"271859385_AMEC309",32026,1,0,0,1
"AME",202415,"331354190_AMEC001",30915,1,2,0,3
"AME",202415,"130712655_AMEC001",30915,0,0,3,0
"AME",202415,"130097419_AMEC400",30915,0,0,2,0
"AME",202415,"331179022_AMEC400",30915,0,1,0,1
"AME",202415,"273989949_AMEC001",30044,0,1,0,1
"AME",202415,"130393112_AMEC300",33093,0,0,22,0
"AME",202415,"271859385_AMEC309",30064,0,1,2,1
"AME",202415,"129320004_AMEC900",32057,1,4,0,5
"AME",202415,"331179022_AMEC400",30104,0,1,0,1
"AME",202415,"273989949_AMEC600",30054,2,0,0,2
"AME",202415,"273909493_AMEC001",30913,0,1,0,1
"AME",202415,"130303238_AMEC300",30913,0,0,1,0
"AME",202415,"331179022_AMEC130",30071,0,2,0,2
"AME",202415,"130752707_AMEC651",30913,0,0,1,0
"AME",202415,"331334139_AMEC219",30913,0,2,0,2
"AME",202415,"130347844_AMEC817",30913,0,0,1,0
"AME",202415,"272974398_AMEC209",33099,0,0,1,0
"AME",202415,"331179022_AMEC400",32068,1,1,0,2
"AME",202415,"129089293_AMEC207",30057,0,0,1,0
"AME",202415,"130213005_AMEC100",30913,0,1,0,1
"AME",202415,"130347860_AMEC400",30069,0,0,3,0
"AME",202415,"130027814_AMEC900",30069,0,0,1,0
"AME",202415,"130362609_AMEC200",30069,0,0,3,0
"AME",202415,"273909493_AMEC800",30057,0,1,0,1
"AME",202415,"273989949_AMEC001",30057,0,0,1,0
"AME",202415,"331334139_AMEC219",30057,1,0,0,1
"AME",202415,"129033791_AMEC013",32098,0,0,1,0
"AME",202415,"128984126_AMEC109",32057,0,1,0,1
"AME",202415,"331179022_AMEC400",30057,0,1,0,1
"AME",202415,"130213005_AMEC001",32051,0,1,0,1
"AME",202415,"130362609_AMEC100",30054,0,0,1,0
"AME",202415,"129320004_AMEC900",33092,2,0,0,2
"AME",202415,"130213005_AMEC100",30048,4,0,0,4
"AME",202415,"130347795_AMEC001",30048,0,0,3,0
"AME",202415,"273334374_AMEC100",30085,0,0,5,0
"AME",202415,"130362609_AMEC001",30085,0,0,2,0
"AME",202415,"130362609_AMEC100",30085,0,0,3,0
"AME",202415,"130362609_AMEC309",30085,0,0,2,0
"AME",202415,"130712655_AMEC200",30915,0,0,2,0
"AME",202415,"331179022_AMEC130",30095,2,0,0,2
"AME",202415,"128984126_AMEC109",30013,1,0,0,1
"AME",202415,"130097419_AMEC341",30915,0,0,3,0
"AME",202415,"129320004_AMEC900",30044,0,1,0,1
"AME",202415,"331354190_AMEC100",30083,0,1,0,1
"AME",202415,"331179022_AMEC130",30064,0,0,1,0
"AME",202415,"130213005_AMEC100",32026,1,0,0,1
"AME",202415,"331074769_AMEC001",30064,1,1,0,2
"AME",202415,"128984126_AMEC109",30916,9,6,0,15
"AME",202415,"331179022_AMEC400",30865,0,1,0,1
"AME",202415,"273989949_AMEC600",30090,0,0,1,0
"AME",202415,"331179022_AMEC400",30030,3,1,0,4
"AME",202415,"130347878_AMEC100",33202,0,0,3,0
"AME",202415,"273989949_AMEC001",30100,0,1,0,1
"AME",202415,"130362609_AMEC001",30066,0,0,12,0
"AME",202415,"130362609_AMEC200",30066,0,0,4,0
"AME",202415,"130213005_AMEC001",30072,2,0,0,2
"AME",202415,"130213005_AMEC001",30100,0,12,0,12
"AME",202415,"331334139_AMEC219",30100,0,3,0,3
"AME",202415,"130213005_AMEC001",31045,0,1,0,1
"AME",202415,"130552627_AMEC300",30101,0,0,1,0
"AME",202415,"332019166_AMEC400",30101,0,1,0,1
"AME",202415,"130393112_AMEC200",30072,1,0,0,1
"AME",202415,"332019166_AMEC400",33088,1,2,0,3
"AME",202415,"130712655_AMEC341",30089,0,0,2,0
"AME",202415,"130127836_AMEC001",30089,0,0,1,0
"AME",202416,"128984126_AMEC109",30013,1,0,0,1
"AME",202416,"271859385_AMEC309",30054,0,0,1,0
"AME",202416,"130213005_AMEC100",30054,0,4,0,4
"AME",202416,"331074769_AMEC001",30914,1,0,0,1
"AME",202416,"130347844_AMEC817",30048,0,0,1,0
"AME",202416,"130343201_AMEC300",30054,0,0,1,0
"AME",202416,"331179022_AMEC400",32012,0,0,2,0
"AME",202416,"331179022_AMEC130",30030,2,0,0,2
"AME",202416,"273989949_AMEC600",33178,0,0,3,0
"AME",202416,"331354190_AMEC001",30913,1,1,0,2
"AME",202416,"130303238_AMEC300",30913,0,0,5,0
"AME",202416,"130752707_AMEC651",30913,0,0,2,0
"AME",202416,"130362609_AMEC309",30064,0,0,1,0
"AME",202416,"130213005_AMEC001",30089,1,0,0,1
"AME",202416,"130213005_AMEC001",30015,1,2,0,3
"AME",202416,"331179022_AMEC130",30015,0,0,1,0
"AME",202416,"130213005_AMEC001",30044,1,12,0,13
"AME",202416,"129320004_AMEC900",30031,1,0,0,1
"AME",202416,"273989949_AMEC001",30031,0,0,2,0
"AME",202416,"130161953_AMEC106",30089,0,0,1,0
"AME",202416,"331354190_AMEC001",30054,1,3,0,4
"AME",202416,"331354190_AMEC001",30101,0,1,0,1
"AME",202416,"331179022_AMEC400",30044,0,2,1,2
"AME",202416,"130027813_AMEC379",30085,0,0,1,0
"AME",202416,"130027813_AMEC106",30085,0,0,2,0
"AME",202416,"130213005_AMEC100",30101,0,1,0,1
"AME",202416,"130213005_AMEC001",30093,0,2,0,2
"AME",202416,"273989949_AMEC600",30054,0,0,2,0
"AME",202416,"272974398_AMEC036",30085,0,0,1,0
"AME",202416,"130213005_AMEC001",30100,0,5,0,5
"AME",202416,"331179022_AMEC400",30061,1,0,0,1
"AME",202416,"128984126_AMEC109",30916,11,3,0,14
"AME",202416,"130213005_AMEC100",30044,7,5,0,12
"AME",202416,"273989949_AMEC001",33086,0,0,1,0
"AME",202416,"331074769_AMEC001",30064,1,1,0,2
"AME",202416,"130213005_AMEC001",30022,1,0,0,1
"AME",202416,"128984126_AMEC109",30030,1,3,0,4
"AME",202416,"273909493_AMEC106",33088,1,0,0,1
"AME",202416,"130362609_AMEC100",30064,0,0,3,0
"AME",202416,"331179022_AMEC130",30089,0,2,0,2
"AME",202416,"130393112_AMEC200",30064,0,0,7,0
"AME",202416,"273494483_AMEC900",32064,0,0,2,0
"AME",202416,"130213005_AMEC100",31045,0,1,0,1
"AME",202416,"130393112_AMEC200",31045,1,0,0,1
"AME",202416,"129557971_AMEC100",32067,0,0,6,0
"AME",202416,"130127836_AMEC823",30053,0,0,1,0
"AME",202416,"129811987_AMEC001",32067,0,0,1,0
"AME",202416,"128984126_AMEC109",30048,2,4,0,6
"AME",202416,"331179022_AMEC130",32012,0,0,1,0
"AME",202416,"130752707_AMEC651",30054,0,0,1,0
"AME",202416,"130213005_AMEC001",30057,0,2,0,2
"AME",202416,"271859385_AMEC309",30057,0,0,1,0
"AME",202416,"130127836_AMEC106",32067,0,0,1,0
"AME",202416,"332019166_AMEC400",32026,0,1,0,1
"AME",202416,"130087332_AMEC800",30066,0,0,1,0
"AME",202416,"331179022_AMEC130",30024,0,0,1,0
"AME",202416,"130213005_AMEC100",32026,1,1,0,2
"AME",202416,"130132136_AMEC200",30083,0,0,1,0
"AME",202416,"273989949_AMEC001",33178,0,0,3,0
"AME",202416,"273989949_AMEC600",32026,0,2,0,2
"AME",202416,"331074769_AMEC001",30065,1,0,0,1
"AME",202416,"130213005_AMEC100",30089,1,0,0,1
"AME",202416,"331354190_AMEC100",30054,1,0,0,1
"AME",202416,"130127836_AMEC106",30100,0,0,1,0
"AME",202416,"130213005_AMEC001",30024,1,0,0,1
"AME",202416,"331179022_AMEC400",30915,1,0,0,1
"AME",202416,"331334139_AMEC219",30057,0,1,0,1
"AME",202416,"331354190_AMEC100",30070,0,1,0,1
"AME",202416,"130362609_AMEC309",30066,0,0,1,0
"AME",202416,"130213005_AMEC001",30104,2,0,0,2
"AME",202416,"130712655_AMEC100",30915,0,0,3,0
"AME",202416,"331354190_AMEC001",30093,3,0,0,3
"AME",202416,"331334139_AMEC219",30093,2,0,0,2
"AME",202416,"130132136_AMEC200",30031,0,0,2,0
"AME",202416,"331179022_AMEC130",30022,0,1,0,1
"AME",202416,"128984126_AMEC109",30101,0,1,0,1
"AME",202416,"130342965_AMEC309",30085,0,0,1,0
"AME",202416,"130362609_AMEC001",30069,0,0,3,0
"AME",202416,"128984126_AMEC109",32068,0,1,0,1
"AME",202416,"130132136_AMEC200",30044,0,0,1,0
"AME",202416,"273989949_AMEC600",30101,0,1,4,1
"AME",202416,"273989949_AMEC001",30064,0,0,4,0
"AME",202416,"331179022_AMEC130",30916,1,0,0,1
"AME",202416,"331334139_AMEC219",30095,0,2,0,2
"AME",202416,"331354190_AMEC001",30064,2,0,0,2
"AME",202416,"331179022_AMEC400",30064,0,0,8,0
"AME",202416,"130213005_AMEC001",30083,0,4,0,4
"AME",202416,"331179022_AMEC400",32026,0,1,0,1
"AME",202416,"331179022_AMEC130",30064,0,0,10,0
"AME",202416,"332019166_AMEC400",33086,0,1,0,1
"AME",202416,"331334139_AMEC219",30083,0,1,0,1
"AME",202416,"130213005_AMEC001",33178,2,2,0,4
"AME",202416,"331074769_AMEC001",30072,2,0,0,2
"AME",202416,"128984126_AMEC109",30881,1,0,0,1
"AME",202416,"128984126_AMEC109",30072,0,2,0,2
"AME",202416,"272974398_AMEC036",30065,0,0,1,0
"AME",202416,"331179022_AMEC130",30020,0,0,2,0
"AME",202416,"130347879_AMEC100",30020,0,0,1,0
"AME",202416,"271859385_AMEC309",33088,0,0,1,0
"AME",202416,"129557971_AMEC600",32067,0,0,7,0
"AME",202416,"129532464_AMEC900",32537,0,0,1,0
"AME",202416,"331334139_AMEC219",30101,0,3,0,3
"AME",202416,"129532464_AMEC900",32067,0,0,3,0
"AME",202416,"129320004_AMEC900",30104,4,0,0,4
"AME",202416,"129320004_AMEC900",30101,0,12,0,12
"AME",202416,"130393112_AMEC200",30057,0,0,4,0
"AME",202416,"332019166_AMEC400",30054,3,1,0,4
"AME",202416,"332019166_AMEC400",30024,0,1,0,1
"AME",202416,"130097419_AMEC615",30915,0,0,2,0
"AME",202416,"130213005_AMEC100",30022,1,0,0,1
"AME",202416,"128984126_AMEC109",30100,0,10,0,10
"AME",202416,"130303215_AMEC900",30066,0,0,1,0
"AME",202416,"129320004_AMEC900",30100,0,2,0,2
"AME",202416,"331354190_AMEC100",30914,1,1,0,2
"AME",202416,"331179022_AMEC130",30057,0,0,1,0
"AME",202416,"331354190_AMEC100",30915,3,3,0,6
"AME",202416,"130393112_AMEC200",30916,1,0,0,1
"AME",202416,"129320004_AMEC900",32013,1,0,0,1
"AME",202416,"128984126_AMEC109",30065,1,0,0,1
"AME",202416,"130347844_AMEC817",30913,0,0,1,0
"AME",202416,"272974398_AMEC400",30913,0,0,2,0
"AME",202416,"130213005_AMEC100",32051,3,1,0,4
"AME",202416,"130727664_AMEC300",30085,0,0,1,0
"AME",202416,"331179022_AMEC130",30093,0,1,0,1
"AME",202416,"130362609_AMEC001",30914,0,0,1,0
"AME",202416,"331179022_AMEC130",32051,0,2,0,2
"AME",202416,"331334139_AMEC219",32051,0,1,0,1
"AME",202416,"129531990_AMEC500",32067,0,0,3,0
"AME",202416,"129320004_AMEC900",30914,29,17,0,46
"AME",202416,"331179022_AMEC130",30915,1,0,0,1
"AME",202416,"129496910_AMEC900",30001,0,0,1,0
"AME",202416,"130727664_AMEC300",30915,0,0,3,0
"AME",202416,"331179022_AMEC130",30054,0,0,2,0
"AME",202416,"130362609_AMEC100",30085,0,0,4,0
"AME",202416,"331354190_AMEC001",30915,3,5,0,8
"AME",202416,"130027813_AMEC379",32537,0,0,1,0
"AME",202416,"130027813_AMEC106",32537,0,0,5,0
"AME",202416,"331354190_AMEC001",32051,1,0,0,1
"AME",202416,"130717656_AMEC800",30915,0,0,2,0
"AME",202416,"273989949_AMEC600",30044,0,0,1,0
"AME",202416,"129320004_AMEC900",30057,0,4,0,4
"AME",202416,"128984126_AMEC109",30057,1,3,0,4
"AME",202416,"273989949_AMEC600",30057,0,0,2,0
"AME",202416,"130393112_AMEC300",30061,0,1,0,1
"AME",202416,"273494483_AMEC900",30915,0,0,5,0
"AME",202416,"331354190_AMEC001",30070,0,1,0,1
"AME",202416,"130362609_AMEC100",30066,0,0,1,0
"AME",202416,"331179022_AMEC130",30914,0,0,2,0
